Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD)
Alpine,A110,2021,1.8,288,236,4.4,"71,500"
Mercedes-AMG,C 63 S,2022,4,503,516,3.7,"81,550"
Audi,RS 5,2021,2.9,444,443,3.5,"75,100"
Dodge,Viper ACR,2017,8.4,645,600,3.3,"126,190"
Audi,RS7 Sportback,2022,4,591,590,3.5,"115,045"
BMW,M4 Competition,2021,3,503,479,3.9,"75,695"
Dodge,Charger Hellcat,2021,6.2,717,650,3.6,"71,490"
Koenigsegg,Jesko Absolut,2022,5,1600,1106,2.1,"2,800,000"
Lotus,Evija,2022,Electric,1973,1254,2.5,"2,750,000"
Mercedes-Benz,AMG GT Black Series,2021,4,720,590,3.2,"326,050"
McLaren,600LT Spider,2021,3.8,592,457,2.8,"256,500"
Chevrolet,Camaro SS 1LE,2021,6.2,455,455,4,"44,500"
McLaren,Speedtail,2021,4,1035,848,2.5,"2,300,000"
Lamborghini,Sián,2021,6.5,819,531,2.8,"3,600,000"
Mercedes-Benz,SLC 43,2020,3,385,384,4.6,"62,000"
Porsche,718 Boxster,2022,2,300,280,4.9,"62,000"
Ferrari,F8 Spider,2021,3.9,710,568,2.9,"280,000"
Alfa Romeo,4C Spider,2020,1.7,237,258,4.1,"67,150"
Audi,RS5 Coupe,2022,2.9,444,443,3.7,"76,450"
Mercedes-AMG,C63 S Coupe,2021,4,503,516,3.7,"77,950"
Audi,TT RS Coupe,2021,2.5,394,354,3.6,"67,600"
BMW,M4 Coupe,2021,3,473,406,3.8,"71,800"
Ultima,RS,2021,6.2,1200,1300,2.3,"220,000"
Bugatti,Chiron Super Sport 300+,2022,8,1578,1180,2.3,"5,200,000"
McLaren,Senna,2020,4,789,590,2.7,"1,500,000"
Audi,RS 7 Sportback,2022,4,591,590,3.5,"114,000"
Mercedes-Benz,AMG C 63 S,2021,4,503,516,3.7,"77,400"
Chevrolet,Corvette Z06,2023,5.5,625,650,2.6,"85,000"
Mercedes-Benz,AMG GT 63 S,2021,4,630,664,3.1,"162,900"
Ferrari,Portofino M,2022,3.9,612,560,3.5,"245,000"
Mercedes-Benz,SL,2022,3,429,384,4.9,"96,250"
Chevrolet,Camaro,2021,6.2,455,455,4,"25,000"
Rolls-Royce,Dawn,2021,6.6,563,605,4.3,"346,300"
Bugatti,Chiron Pur Sport,2021,8,1500,1180,2.3,"3,599,000"
Mercedes-AMG,GT Black Series,2021,4,720,590,3.1,"325,000"
Nissan,400Z,2023,3,400,350,4,"40,000"
Audi,RS6,2022,4,591,590,3.5,"113,000"
Mercedes-Benz,GT 63,2021,4,577,590,3.3,"161,200"
Porsche,918 Spyder,2015,4.6,887,944,2.2,"1,800,000"
Bentley,Continental GT Speed,2022,6,650,664,3.5,"300,000"
Dodge,Challenger,2022,3.6,305,268,6.4,"28,000"
Porsche,911 Turbo S,2022,3.8,640,590,2.6,"208,000"
BMW,M5 Competition,2022,4.4,617,553,3.1,"103,500"
Audi,RS6 Avant,2021,4,591,590,3.5,"109,000"
BMW,Z4 Roadster,2022,2,255,295,5.2,"50,000"
Chevrolet,Camaro SS Convertible,2022,6.2,455,455,4,"49,000"
Nissan,370Z Coupe,2020,3.7,332,270,5,"30,090"
Mercedes-AMG,GT 63 S,2021,4,630,664,3.1,"162,000"
McLaren,570S Spider,2020,3.8,562,443,3.1,"208,800"
Mercedes-Benz,C 63 AMG,2022,4,469,479,3.9,"69,000"
Dodge,Challenger R/T,2021,5.7,372,400,5.1,"35,000"
Mercedes-Benz,C63 S AMG,2022,4,503,516,3.9,"77,600"
Mercedes-Benz,AMG C43 Coupe,2021,3,385,384,4.5,"59,900"
Mercedes-Benz,AMG A45,2021,2,382,354,4,"50,000"
Rolls-Royce,Ghost,2021,6.8,563,627,4.6,"332,500"
Dodge,Charger,2021,6.2,797,707,3.3,"72,000"
Porsche,Panamera GTS,2021,4,473,457,3.9,"134,150"
Mercedes-Benz,AMG GT 4-Door Coupe,2021,4,630,664,3.1,"171,200"
Mercedes-AMG,C63 S,2022,4,503,516,3.7,"78,100"
Maserati,MC20,2021,3,621,538,2.9,"210,000"
Ford,Mustang,2021,2.3,310,350,5.3,"27,205"
